Date-Monthly,"US (Gulf), Wheat (US No. 2, Soft Red Winter)","Argentina, Wheat (Argentina, Trigo Pan, Up River, f.o.b.)","Australia (Eastern States), Wheat (ASW)","Australia (Eastern States), Barley (feed)","Argentina, Maize (Argentina, Up River, f.o.b.)","Black Sea, Barley (feed)","Black Sea, Maize (feed)","Black Sea, Wheat (feed)","Black Sea, Wheat (milling)","Canada (St Lawrence), Wheat (CWRS)","Brazil (Paranagua), Maize (feed)","EU (France), Barley (feed)","EU (France), Wheat (grade 1)","EU (UK), Wheat (feed)","Kazakhstan, Wheat (milling, d.a.p. Saryagash station)","Kazakhstan, Wheat (milling, f.o.b. Aktau port)","Russian Federation, Wheat (milling, offer, f.o.b., deep-sea ports)","US (Gulf), Maize (US No. 2, Yellow)","US (Gulf), Wheat (US No. 2, Hard Red Winter)","US (Kentucky, KY), Maize (US No. 2, White)","Ukraine, Wheat (milling, offer, f.o.b.)","Ukraine, Maize (offer, f.o.b.)"
Jan-00,97.53,100.5,,,90.75,,,,,153.43,,,,,,,,92.64,110.75,88.78,96,83
Feb-00,99.02,100.25,,,92.8,,,,,150.22,,,,,,,,95.33,112.2,88.78,100,83
Mar-00,97.58,102.2,,,91.25,,,,,146.16,,,,,,,,94.83,112.25,89.96,100,83
Apr-00,96.01,110.25,,,90.75,,,,,147.13,,,,,,,,95.59,112,89.17,100,83
May-00,102.16,124,,,90.8,,,,,149.62,,,,,,,,94.59,115.6,89.37,100,83
Jun-00,98.86,124.8,143.4,,83.67,94.8,,88.2,,147.47,,107.5,,,,,,84.05,118.75,77.75,97,83
Jul-00,90.59,123,139,,78.5,101,,86.5,,,,,,,,,,75.44,115.5,68.5,93.5,
Aug-00,89.94,127.5,138,,79.6,100.25,,81,,136.08,,,,87,,,,75.57,114.8,66.73,95,
Sep-00,97.35,122.6,146.4,,78.75,95.2,,83,,140.57,,99,,,,,,80.26,122.5,68.3,95,75
Oct-00,104.09,131.75,158.75,,82,97.67,,83,,146.92,,102,,96,,,,85.19,131.2,76.18,95,75
Nov-00,103.36,128.25,163,,85,100.75,,83,,151.24,,110,,96.5,,,,89,130.25,85.82,95,80.8
Dec-00,105.41,115.8,163.2,,94.5,101,,86,,158.69,,117.2,,102.5,,,,96.63,130.5,91.53,95,89.6
Jan-01,109.18,121.6,166.25,,91.4,106,,87,,158.44,,120.25,,104.5,,,,94.68,134.2,91.93,95,97
Feb-01,106.26,124.5,160.75,,86.25,110.75,,88.25,,157.45,,116.5,,101.5,,,,92.76,131,90.74,95,105.8
Mar-01,105.84,121.6,158,,84.75,110.2,,92,,152.85,,113.6,,101.5,,,,91.88,133.25,89.96,95,109
Apr-01,99.48,120,157.75,,80,102.75,,92,,149.6,,107.25,,105,,,,87.35,130.25,87.59,95,109
May-01,102.31,129.2,159,,81.4,108,,87.67,,154.72,,104.75,,117.5,,,,83.74,136.2,81.89,95,109
Jun-01,97.87,127,155.6,,82.5,107,,82.5,,154.8,,99.2,,,,,,82.99,130,78.74,95,109
Jul-01,105.86,123,155.5,,88.2,88,,82,,152.43,,103.5,,112,,,,91.28,126.8,83.66,96.3,109
Aug-01,104.4,120.25,160,,89.5,91.6,,80.4,,145.92,,106.6,,113.5,,,,92.59,125.75,84.64,101.2,109
Sep-01,107.96,118.5,162.5,,88.25,86.25,,76,,146.54,,104.5,,115,,,,90.03,127.25,81.69,106,109
Oct-01,113.87,111,165.25,,88.6,85.25,,79,,146.44,,100.75,,111,,,,85.71,126.4,77.16,105.3,109
Nov-01,116.36,108.75,164.6,,93,95.8,,87.2,,147.9,,105.8,,115.5,,,,90.2,128,81.1,101.4,109
Dec-01,117.51,107,159.75,,96.67,98,,90.25,,151.82,,105.33,,114.67,,,,92.81,125.5,87,102.5,
Jan-02,120.68,115,162.25,,88.67,98,,90.33,,149.98,,103.5,,114.33,,,,91.73,128,86.81,103,
Feb-02,113.79,111,158.25,,86,94,,87.5,,148.2,,102,,108,,,,90.5,126.5,86.61,101.3,
Mar-02,115.93,110.5,155,,85.25,87.8,,79.2,,145.04,,95.6,,100,,,,90.18,125.75,85.23,97.4,
Apr-02,112.4,120.6,150.75,,85.8,82,,78,,142.25,,95.25,,103.5,,,,86.97,125.4,83.46,97,
May-02,111.79,130.67,149.2,,89.75,82,,79,,142.22,,92.2,,92.67,,,,90.82,123.25,89.56,94.6,99.3
Jun-02,112.04,150.25,164.25,,92,80,,75.5,,146.84,,94.25,,94.25,,,,92.49,133.25,99.01,89,98
Jul-02,122.63,137,175.75,,96.6,74.75,,70.75,,166.19,,96.75,,97,,,,99.68,151,107.08,89.3,98
Aug-02,130.64,137.75,189.8,113,105.5,74.8,,70.6,,182.3,,98.6,,97.6,,,,110.21,165.25,117.52,91.2,98
Sep-02,153.63,152.75,218.25,126.67,107.75,79.25,,75.5,,224.76,,107.5,,105,,,,114.69,189.5,122.83,93.3,90
Oct-02,158.84,155.2,221.75,149.25,105.4,90,,79,,232.67,,111,,102,,,,109.9,195.6,120.07,96.5,90
Nov-02,158.62,136.25,208.4,152.8,108.25,99.6,,80.6,,225.64,,111.8,,103.4,,,,108.93,180.5,127.36,102,91.8
Dec-02,145.83,130,188.25,140.25,104,101,,82,,205.65,,110.25,,100,,,,106.57,165.4,129.33,105,96.3
Jan-03,138.27,137.75,177.4,140,102.25,102.75,,84,,193.38,,105,,98.8,,,,105.78,153.25,131.49,106.4,97.2
Feb-03,141.69,146,179,,99.5,102.5,,95.25,,187.57,,104.25,,99,,,,106.25,154.75,131.49,109.5,99
Mar-03,129.01,149.25,171,,94.75,98.5,,94,,181.09,,103.25,,99,,,,104.84,145.75,121.65,110,102.3
Apr-03,125.94,142.6,168,106,98.6,,,,,175.53,,103.75,,100,,,,105.35,143,121.45,110,103
May-03,130.97,156.75,168.6,119.8,104.25,,,,,174.48,,107.4,,113,,,,107.75,147.25,123.62,110,103
Jun-03,125.2,158,162.25,128.25,103,101,,,,172.31,,108.5,,115.75,,,,107.21,135,118.11,110,103
Jul-03,127.04,142,157.5,123,96.8,106.5,,,,168.94,,121.75,,130.25,,,,98.74,133.2,105.11,110,104.8
Aug-03,142.06,153.2,177,136,98,140.8,,,,177.53,,132.8,,141,,,,100,154.5,94.88,110,108.8
Sep-03,139.48,151.8,176.25,138,101.2,130.5,,,,164.81,,144,,153.5,,,,103.44,150.8,94.29,,112.8
Oct-03,139.19,148,178.6,133.4,101.25,120.8,,,,166.38,,150.2,,161.8,,,,103.81,149.5,90.94,,117.6
Nov-03,158.5,164.75,188.25,140.25,109.75,132.5,,,,236.54,,168.25,,188.75,,,,107.48,165.5,96.45,,130.3
Dec-03,159.24,162.33,189.25,124.5,116.33,137.33,,,,243.31,,177,,195,,,,111.61,173.67,102.16,,137
Jan-04,156.76,160.5,190.2,130.4,113.75,138.75,,,,183.99,,180.8,,200,,,,115.82,170.25,109.05,,147.8
Feb-04,157.28,150.5,189.25,136,112.75,142.25,,,,190.78,,175.75,,189.75,,,,122.29,164.75,114.17,,163.8
Mar-04,157.9,152.8,190.25,133,109.6,140.5,,,,190.79,,156.5,,185.5,,,,128.71,170.6,121.45,,165
Apr-04,158.39,159.25,194.2,134.8,120.75,137.5,,,,188.35,,151.4,,185,,,,132.94,171.75,124.6,,165
May-04,150.3,157.25,192,134,118,128.75,,,,186.54,,148.25,,163.5,,,,130.14,166.75,119.48,,165
Jun-04,138.78,143.2,184.75,128,113.2,127.5,,,,183.35,,131.5,,149.75,,,,123.75,158,113.78,,160
Jul-04,133.86,138.75,173.4,120,102.5,83,,,125,173.56,,122.6,,126.8,,,,104.94,154.25,94.48,123,160
Aug-04,130.36,125.8,165.5,112,99.8,94.5,,,124.25,164.03,,126.5,,126.5,,,,104.48,146.2,89.76,125,140
Sep-04,138.52,126,176.75,110,95.5,98,,108.33,121.25,185.56,,131.25,,120,,,,97.09,155,80.9,125,107.7
Oct-04,140.93,120.5,177.2,114.8,93,107,,108.8,121,189.49,,127,,125.6,,,,93.33,155.5,78.74,125,102.6
Nov-04,139.46,115.6,182,119.75,86.4,120.75,,120,131.25,196.85,,125.25,,133,,,,93.56,162.2,81.3,128.8,100.5
Dec-04,138.96,110.75,179.2,125.2,89,125,,120,135,199.78,,129.8,,135.5,,,,96.28,160,84.45,131.6,103.6
Jan-05,141.97,107,180.5,121,81.75,125,,118.5,127,204.98,,126.75,,132.25,,,,96.48,157,82.87,132,102.8
Feb-05,142.68,112.75,174.25,121.75,80.5,130,,119.25,128.5,201.01,,138.5,,129.25,,,,93.84,153.75,82.87,125.8,102
Mar-05,152.52,127.6,180.25,122,85.4,130.5,,120,129.25,195.8,,152.25,,127.75,,,,99.98,156.8,85.23,125,99.54
Apr-05,131.72,129.25,169.8,123.2,84,125.6,,115,125.6,185.54,,131.6,,131,,,,96.65,147.75,82.87,122.4,95
May-05,135.21,133.4,168.5,128.75,86.8,117,,111.5,120,189.3,,115,,122.25,,,,94.48,150.8,82.87,118,88.5
Jun-05,131.36,133.5,167.75,146,91,110,,111.5,121,199.57,,124.5,,125.25,,,,97.71,146.25,87.2,111,87
Jul-05,129.89,144,168.2,145.8,100.25,125,,104.4,113,191.97,,133.2,,123.4,,,,105.26,148.25,92.32,108,
Aug-05,129.39,142,178.25,145.75,98.2,127.5,,97,110,190.58,,136.25,,124,,,,98.5,156.6,83.07,108.5,
Sep-05,127.65,136.25,187.6,139.2,96.5,123.2,,97,111,200.56,,130.4,,120.6,,,,97.11,167.25,73.62,109.6,
Oct-05,134.96,132.25,192.25,126,94.75,122,,98,115,203.24,,135.25,,119,,,,101.3,174.5,71.45,110,93
Nov-05,132.53,133.6,186.5,120.25,91,126.5,,106.25,119.75,200.67,,133.5,,119.75,,,,96.71,166.8,77.56,110,93
Dec-05,137.72,130,188,118.2,95.25,128,,110,124.2,207.21,,131.8,,121.6,,,,103.37,168,84.45,110,94.6
Jan-06,143.35,133.2,190.25,120.75,103,128,,110,122.25,210.36,,133.75,,122.5,,,,103.05,170.6,88.78,110,95.8
Feb-06,149.6,137.25,200.25,118.5,104.5,128.5,,116.25,133.25,213.71,,133,,129.75,,,,106.86,183.5,93.89,110,105.3
Mar-06,142.22,135.25,198.4,119,99.5,130,,116.8,137.5,203.69,,133.2,,132.6,,,,104.6,179.25,94.29,110,108.8
Apr-06,141.3,135.5,204.75,124.33,105.75,123.5,,114.5,131.25,203.03,,128.25,,132.5,,,,107.8,187,100.78,110,110
May-06,149.03,146.4,219,129.25,111.6,119.5,,121,136.25,214.55,,130,,148,,,,110.57,201,107.08,110,110
Jun-06,139.16,156,222.6,128.8,107.5,118.4,,128.8,144.5,216.26,,134.8,,146.2,,,,108.95,202.75,102.75,110,110
Jul-06,145.69,158.5,224,134.25,113.75,119,,122.75,143.12,230.58,,132.75,,147.75,,,,114.29,213,105.9,110,110
Aug-06,144.55,160.2,215.75,140,111.25,120,,137.5,151.75,207.83,,142.75,,156.5,,,,113.46,200.6,94.68,110,
Sep-06,164.52,167.25,221.8,169.2,113.75,139.4,,159.4,176.6,207.8,,159.6,,170.8,,,,119.29,207.75,102.75,110,
Oct-06,196.28,191.2,233.25,207,135.2,158.75,,166.67,183.33,227.64,,179.25,,189.75,,150,195,141.49,217.6,127.16,110,
Nov-06,192.44,185.25,234.75,190.75,171.5,183.75,,181.25,196.25,227.7,,195.5,,186.25,,152.5,193.3,166.36,219.25,154.13,,
Dec-06,189.54,186,232.8,200.2,161.75,199,,190,200,238.09,,200,,190.2,,168.8,190.6,160.07,215.75,161.8,,
Jan-07,175.58,182.6,225.75,192.25,160.8,200,,190,200,230.77,,197.75,,199,,170.5,190,163.95,207.8,174.01,,
Feb-07,175.15,175,235.75,190,165.25,200,,190,198.75,233.24,,193.5,,193,,168.8,188,176.74,208.5,197.83,,
Mar-07,167.76,187,236.6,187,160.25,191,,187,196,233.75,,190,,195,,155.2,185.4,169.63,208.5,198.42,,185
Apr-07,170.51,208.5,241.5,198.5,143.5,186.25,,186.25,196.25,236.21,,196.25,,203.25,,150,190.3,150.39,206.25,171.45,,181.3
May-07,179.64,218.6,230.25,202.5,147,200,,197.5,207.5,238.53,,201.25,,210.5,,151.3,201.5,158.66,202.6,174.6,190,172.8
Jun-07,205.19,239,250.4,210,155.75,226,,213,223,258.98,,226.2,,212,,158,233,165.18,231.25,177.95,190,185.4
Jul-07,222.96,249.4,271.75,228.5,141.2,248.75,,243.75,260,272.92,,259.25,,258,,185,255,146,249.8,157.08,,
Aug-07,254.49,273.25,298,265.6,156.5,269.4,,264,283,294.46,,295,,317.67,,214,290,152.26,276.5,144.68,,
Sep-07,322.86,325,354,363.5,169.5,301.75,,297.5,327.5,360.26,,365,,359,,265,343.8,157.52,342.5,140.94,,
Oct-07,323.49,321,,331.75,179.8,305,,296.25,331.25,385.12,,353.25,,337.25,,280,346.3,163.22,351.6,149.4,,
Nov-07,306.8,289.5,,282.4,179.25,305,,300,331,389.87,,334,319.75,321.75,,280,353,171.33,332.25,163.58,,
Dec-07,344.65,309.67,,293.67,170.67,305,,305,335,468.53,,349.75,319.75,,,265,348.8,178.5,380.67,183.26,,
Jan-08,343.18,330.4,,296.25,198.6,305,,311.25,346.25,509.76,,340.5,372.09,,,268.8,361,206.15,380.6,213.57,,
Feb-08,403.3,364.75,,288.4,206.5,305,,330,380,743.62,,313,401.31,,,330,,219.77,449.25,220.46,,
Mar-08,397.24,395,,327.5,215.75,305,,387.5,435,615.24,,333.25,434.38,,,370,,234.49,481.5,226.37,,
Apr-08,300.93,,,299.25,224,305,,390,430,534.75,245.5,307.25,359.19,,,385,,247.21,381.8,236.6,,285
May-08,257.82,,,299.25,207,297,,316,356,484.32,242,289.2,316.76,,,310,,241.7,349.25,237.79,300,270
Jun-08,249.42,362.75,,327,258.25,281.25,,282.5,310,426.8,275,282.75,317.2,,,280,300,280.94,357.5,272.23,300,265
Jul-08,244.91,329.25,,322,251.6,241.75,,245,278.75,398.66,270.5,263,301.29,269,,275,282.5,267.32,340.8,249.99,283.8,265
Aug-08,253.37,306.6,,258.4,216.5,244.4,,206,280,402.52,230,251.6,289.3,237.6,,290.6,287,232.47,342.75,215.54,277,265
Sep-08,221.65,280,,215.5,202.8,228.75,,189.75,256.42,366.53,202.25,220.5,251.54,203.5,,260,266.3,229.34,308.4,208.46,256.3,223.8
Oct-08,183.09,235,,172.2,169.25,187.6,,154.4,199.4,322.51,165,177.2,198.51,161.8,,266,204,181.14,252.25,159.64,199,162
Nov-08,182.29,188.75,,132.5,156.25,135,,121.25,155,323.95,149.25,147.5,175.48,146.75,,226.3,182.5,165.86,247.25,155.51,170,121.8
Dec-08,181.88,176.8,202,127.25,151.8,127.5,,113.75,158.75,328.28,146.75,150.75,175.22,145.25,,226.3,176.5,160.07,239.8,153.54,170,112.8
Jan-09,192.95,213,208.8,131.8,159.5,137,,124,187,342.65,170.2,158,194.55,168.8,,227,181,171.6,256,168.69,172.6,120.8
Feb-09,182.73,218.5,210.75,142.5,157.75,145,,142.5,186.25,318.81,162.25,152.25,186.24,167.5,,215,190,162.84,240.75,162.59,180,152.3
Mar-09,185.61,214.25,217.75,149.75,163,133,,131.25,170,307.08,159.5,146.75,179.53,159.75,,193.8,175.5,165.47,244.4,172.83,176,146.5
Apr-09,180.43,211,220.75,155.5,165.75,142.5,,132.5,176.25,384.55,165,146.5,185.8,163.5,,173.8,173.5,167.91,242,172.63,173,152.5
May-09,200.94,210,240.2,165.8,185.5,153,,157,191,384.7,189,164,204.57,187,,182,185,179.86,265.5,183.46,177.4,168.2
Jun-09,201.28,228,265,180.5,184.6,160,,162.5,191.25,366.53,189.5,163,201.25,190.25,,187.5,198.8,177.32,263.4,177.95,186.8,187
Jul-09,175.08,234.5,243.8,173.4,164,133,,137,172,319.94,162.2,149.2,193.5,176.6,,168,176.4,150.78,231.75,146.06,171.4,175
Aug-09,161.44,228.75,222.25,160.5,166.5,135,,130,170,287.06,165,149,180.25,160.25,,165,173.5,152.8,217.75,144.09,169.3,172.5
Sep-09,158.25,207.8,204,142.5,162.8,130,,127.5,160,280.74,160,148.25,179.5,159.5,,153.8,168.3,151.57,199.8,137,162.8,160
Oct-09,175.43,214.25,202.8,149.2,175.5,137,,151,173,289.86,167,153.4,192.25,169.2,,129,177,167.78,212,149.8,164.8,162
Nov-09,203.74,214,210.25,156.25,175.25,146.25,,165.5,185,306.97,180.25,158,193,181.5,,120,191.8,172.04,227.5,154.13,173.8,179
Dec-09,207.01,240.2,209,153.6,176.8,148.2,,175,186.4,303.11,181.4,153.4,187.4,177,,120,197,165.81,221.4,160.23,184.8,187.8
Jan-10,196.64,236.25,203,149.25,177.5,143,186.25,165,177.75,286.25,177.5,148.5,178.75,172.5,,120,191.8,166.6,213.5,159.25,184.4,188.4
Feb-10,192.24,221.5,191.5,147,164.25,139.75,181.75,157,169.5,282.5,169.25,140,167.75,156.25,,125.5,175.3,162.35,207,156.69,178.8,185
Mar-10,190.75,211.2,186.25,147.75,160,138.25,178.75,155.75,165.5,271.25,170,137.5,165.25,152.25,,122.8,170.5,158.5,204.4,152.95,173.3,183
Apr-10,187,228.25,183.2,153,161.25,143,178.2,160.2,169,268.2,169,142.8,173.6,161.8,,109.2,172.8,155.85,200.25,144.09,172.2,181.4
May-10,190.03,243.5,182.75,159,170,143.75,181.25,159.5,174,257.25,169.67,136.25,171.25,167.25,,107.5,176.8,163.03,195.75,149.8,173.3,184.5
Jun-10,182.58,205.8,180.25,159,162.6,127.75,168.5,144.75,166,264.5,164.75,130.75,170.5,163.25,,113.5,168.8,152.24,181.4,141.73,169.8,183.8
Jul-10,217.77,212.25,203,179.6,171.25,154.6,174.75,172.6,200,296.4,178,173.4,217.4,198.8,,134,198.6,160.38,211.75,149.8,191.4,182
Aug-10,257,276.6,267.5,252.75,198.4,,,,251.25,329.5,204.25,261,290,246.5,,225,265,174.11,271.8,161.61,270,230
Sep-10,276.4,298.75,290.25,258.5,229.25,262.5,242.5,260,288.33,368.35,232,255,304.87,256.75,,235,,205.95,303.5,197.04,280,237.8
Oct-10,265.84,294.5,287.2,264.2,248.5,265,245,260,280,367,250,265.4,297.75,264.6,,261,,236.06,290.75,217.9,283,251.8
Nov-10,275.94,295.4,288.25,236.5,246.4,,,,,376.8,248,259.25,306.4,274.75,,270,,236.17,291.2,222.83,288.5,258.4
Dec-10,309.91,300.5,315.8,232,259.75,,,,,419.75,258,275.6,326.5,303,,283,,251.96,327.25,232.08,292,260
Jan-11,316.75,316.75,298.25,255.25,272.5,,,,,436.5,275.25,297.5,347.75,316.25,,298.8,,262.83,339.75,250.19,325.5,282.8
